,Age,Income,MonthlyCharge,Tenure,Outage_sec_perweek,Email,Bandwidth_GB_Year,Yearly_equip_failure,PaperlessBilling,Churn,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Area_Suburban,Area_Urban,InternetService_Fiber Optic
1880,57,18651.96,204.963371,18.37212028,10.78909418,6,1924.903884,1,1,1,0,0,1,0,0,1,0,0,0,1,1
1881,73,97463.9,169.992756,5.731198479,7.1972748,16,695.0510444,0,1,0,1,0,0,1,0,0,0,1,0,0,1
1882,37,14638.17,172.470522,2.497790261,9.713763237,13,1178.564131,0,1,1,1,0,0,0,0,0,0,0,1,0,0
1883,86,24371.34,162.482694,2.745220008,5.46295328,10,504.8041713,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1884,40,46974.79,124.97808,3.386665328,7.633282055,14,391.0106655,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1885,62,49939.39,207.49737,3.032321354,6.398169663,14,693.358004,0,0,1,0,0,0,0,1,0,0,0,0,1,1
1886,69,10584.2,179.947583,2.678577227,11.55394954,16,497.4668116,2,1,0,1,0,1,0,1,0,0,0,1,0,1
1887,20,46984.61,139.95684,6.678176681,10.1309532,11,989.9918587,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1888,86,48971.18,182.483267,6.211504434,14.67533687,6,745.0467839,0,0,0,1,0,1,0,0,1,0,0,0,1,1
1889,82,7723.17,235.137219,13.56958731,9.45902039,9,2087.543903,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1890,49,72997.73,200.132293,9.727742106,13.33271836,11,1751.848426,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1891,68,55593.6,162.497044,7.18546062,9.155612168,14,1501.32182,0,1,1,1,0,0,0,1,0,0,0,1,0,0
1893,29,10887.66,172.457857,18.7939759,8.31466824,6,2057.159348,0,1,0,1,0,0,1,0,1,0,0,0,0,1
1894,20,147436.94,149.944668,4.510537408,10.99604139,16,1222.622089,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1895,53,77658.11,162.460772,15.73628072,9.622151061,12,2089.023186,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1897,56,61901.7,194.976769,7.434237932,8.064807,15,989.3430051,0,0,1,1,0,0,0,1,0,0,0,0,0,1
1898,34,54246.36,152.457857,34.80793399,7.486891758,8,3934.848461,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1901,57,21062.25,94.972827,2.596050259,15.34568423,11,817.8995329,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1904,21,37455.48,127.442069,9.626754665,0.636607948,7,1575.771505,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1906,51,19982.5,149.99153,6.531735637,8.560207521,11,874.1933216,0,1,1,0,0,0,0,0,0,0,1,0,0,1
1909,53,18038.36,144.960655,25.36784311,9.698184881,11,2167.068284,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1910,79,33297.61,197.494455,10.91916339,10.87571686,14,1428.608241,1,1,1,1,0,0,0,0,0,0,1,0,1,1
1911,41,80430.99,182.467607,6.775594861,8.713781981,14,1072.585587,0,0,1,1,0,0,0,0,1,0,0,0,0,1
1912,63,15423.53,140.004928,15.71428993,12.18665298,13,1579.867444,1,0,0,1,0,0,0,0,0,0,0,1,0,1
1914,58,23107.22,245.145743,2.811977672,5.546944946,15,911.3769495,0,1,1,0,0,0,0,0,0,0,0,0,1,1
1915,63,65329.46,232.622804,12.85056526,13.34580773,8,1710.216611,0,1,1,1,0,0,0,0,0,0,1,0,0,1
1916,46,12650.67,172.462354,4.385448215,6.411211074,9,758.0522649,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1918,49,53320.93,162.467607,15.54170472,9.991096674,11,2100.288363,2,1,0,0,0,1,0,0,0,1,0,0,1,0
1919,30,116888.77,172.470522,11.92905011,11.06209104,13,1851.152977,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1920,86,22840.68,164.971516,5.037146238,6.318907115,7,1051.069135,1,1,1,0,0,0,0,1,0,0,0,0,0,0
1921,28,29742.47,159.965581,3.259826777,12.14896261,8,1216.35272,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1922,56,22139.13,232.637807,12.52485764,15.08558131,9,2138.661668,0,1,1,1,0,0,1,1,0,0,0,0,1,0
1923,80,26760.18,172.510442,5.220501553,3.410169776,13,684.7417744,0,1,0,0,0,0,1,1,0,0,0,1,0,1
1924,28,23613.85,159.965008,10.4843853,14.06427534,9,1325.529732,2,1,1,0,0,0,0,0,0,0,1,1,0,1
1925,53,38691.84,172.47417,3.835182255,6.89303513,12,641.4963126,0,1,0,0,0,1,0,1,0,0,0,1,0,1
1927,27,8539.27,174.988208,6.136751688,7.233561718,15,1553.937724,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1929,85,68237.79,124.960655,22.37864487,5.638490484,13,2353.856438,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1930,47,23101.13,265.128318,17.05603447,4.743877362,14,2209.997412,0,1,1,1,0,1,0,1,0,0,0,0,0,1
1931,57,49323.19,169.944668,2.48527604,7.869279288,11,521.8726735,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1932,51,32459.53,182.467607,10.1127187,14.20149723,12,1282.45127,0,1,1,1,0,0,0,1,0,0,0,1,0,1
1933,37,43765.92,137.487242,11.59620573,13.38997772,11,1283.266496,0,1,0,1,0,0,1,0,0,0,1,0,1,1
1934,32,91605.19,202.649979,15.21980082,6.716026988,13,2425.149963,2,1,1,0,0,0,0,0,1,0,0,0,0,0
1935,55,34978.09,225.145743,10.19944078,7.275219163,12,2017.858499,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1936,69,115594.58,255.119794,6.135854482,6.768420041,11,1585.705665,0,0,1,1,0,0,1,0,0,0,1,0,1,0
1937,24,137589.2,159.983006,11.04013684,11.29289964,10,1281.961793,0,0,0,1,0,0,0,0,0,0,1,1,0,1
1938,79,10349.38,184.963371,2.24841574,10.42980353,17,1115.319187,0,1,1,1,0,0,0,0,0,0,0,1,0,0
1939,64,9324.27,159.965008,13.03967126,8.955177991,15,1324.519398,3,1,0,0,0,0,0,0,0,1,0,0,1,1
1940,26,23026.89,265.146969,3.637134041,5.706642926,15,1114.124252,0,0,1,0,0,0,1,0,0,0,1,1,0,1
1941,60,13719.94,152.462354,9.660168743,7.560121916,12,1510.790984,1,1,1,0,0,0,1,0,0,1,0,1,0,0
1942,69,47635.23,142.500692,8.721771003,12.58527236,10,1402.374111,1,1,0,1,0,0,0,0,0,0,1,0,0,0
1943,37,49270.7,204.961033,24.37711744,13.29065491,9,2463.393795,1,1,1,0,1,0,0,0,0,0,0,0,0,1
1944,65,8982.13,164.988941,7.017918254,8.541648101,10,943.490788,2,1,0,0,0,0,1,0,0,1,0,0,0,1
1946,81,8507.14,124.97808,3.892424053,8.089726776,8,390.381346,0,1,0,0,0,0,1,0,0,1,0,1,0,1
1947,42,21084.49,127.473844,21.6132385,6.413780429,20,2467.669888,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1948,55,99199.26,137.487242,4.238632927,12.90458773,5,590.602719,0,1,0,1,0,1,0,0,0,0,1,1,0,1
1949,21,32720.43,202.649979,22.04436191,10.00892011,13,3098.243332,0,0,1,1,0,0,0,1,0,0,0,0,1,0
1951,86,29966.23,187.609354,1.00025934,9.197938249,17,1154.39778,0,0,1,1,0,0,1,0,0,0,0,1,0,0
1952,81,96126.76,137.487242,21.1307851,9.654031047,16,1807.178649,1,1,0,0,0,0,0,0,0,1,0,0,1,1
1956,76,72927.6,172.457857,8.355760951,11.23137848,15,1031.509395,0,1,0,0,0,1,0,0,1,0,0,0,1,1
1957,70,12895.65,277.63748,14.21751959,7.960834129,17,1906.330177,0,1,1,1,0,0,1,0,0,0,1,0,1,1
1958,22,29653.48,187.609354,11.42145103,4.630760428,12,1971.843122,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1959,41,84185.38,159.951231,10.99607752,6.771136717,9,1120.873005,1,1,0,0,0,1,0,0,0,0,1,0,0,1
1961,54,45577.26,229.993134,8.205103396,7.754485939,13,1288.925148,0,0,1,1,0,0,0,0,0,1,0,0,1,1
1962,57,19992.77,162.460772,9.878308737,6.899189425,17,1647.420385,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1963,72,38137.48,139.983006,3.27055489,9.296497381,13,911.5267548,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1964,48,17762.55,92.455141,13.59949293,15.78937082,9,1587.688033,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1965,46,18493.34,222.628057,7.757685471,9.278437133,16,1772.090821,0,1,1,1,0,0,1,0,0,1,0,0,0,0
1966,41,43296.9,247.664655,10.98734966,11.98468923,16,2079.818241,0,1,1,1,0,0,1,1,0,0,0,1,0,0
1967,64,17172.32,162.45383,7.98560378,10.209012,16,1367.4247,1,0,0,1,0,1,0,0,0,0,1,0,0,0
1968,62,27687.94,207.609354,3.391969552,11.87237678,11,738.5002845,0,1,1,1,0,0,0,0,0,1,0,1,0,1
1969,44,29613.46,172.470522,6.393598693,8.985344623,10,1269.403112,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1972,66,24805.02,240.114868,1.268992493,8.856522955,13,715.7384607,0,1,1,1,0,0,0,0,0,1,0,1,0,1
1973,54,31324.12,164.978458,11.23691953,11.21140731,13,1905.350528,1,1,0,1,0,0,1,0,1,0,0,0,0,0
1974,63,45562.92,184.978458,14.64298089,9.844484181,13,1597.578464,0,1,1,0,0,0,0,0,1,0,0,0,1,1
1975,59,35226.26,204.979684,12.57273206,9.577623408,18,1348.141984,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1977,48,9202.1,164.971516,14.51274009,7.979875858,18,2029.905606,0,1,0,1,0,1,0,0,1,0,0,0,1,0
1978,49,27720.0,129.977753,16.01233793,12.17826323,9,2010.958936,1,0,0,1,0,0,1,0,0,0,1,1,0,0
1980,87,83416.9,184.963371,5.947501617,14.05737023,10,1330.615859,0,1,1,1,0,0,0,0,1,0,0,1,0,0
1981,60,67448.07,152.479779,26.68008793,15.63302492,11,2552.12106,0,0,0,1,0,1,0,0,1,0,0,1,0,1
1982,82,17105.07,179.947583,24.77325806,8.556630945,7,2234.450325,0,1,0,1,0,0,0,1,0,0,0,0,1,1
1983,45,48915.51,162.465269,8.856546048,10.51538905,12,1457.990407,1,0,0,0,0,0,1,0,0,0,1,1,0,0
1984,44,32992.62,119.95684,6.12261616,10.28022332,12,1263.008234,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1985,19,45631.91,169.937833,8.69123648,6.980525959,13,1299.240934,0,1,1,1,0,0,1,0,1,0,0,0,1,1
1986,37,26049.03,174.975543,7.443067222,14.69431857,15,1190.580006,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1987,19,9545.58,192.440432,4.30774917,7.846044789,10,811.9419618,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1988,70,24717.71,147.460067,1.277136149,10.7511092,15,246.039373,1,1,0,1,0,0,0,0,1,0,0,0,1,1
1990,71,33318.12,255.155493,6.217715978,8.398877174,12,1125.77426,0,1,1,0,0,0,0,0,0,1,0,0,0,1
1991,30,56817.96,182.446995,5.412980331,11.02277295,17,937.3165462,0,1,1,1,0,0,0,0,1,0,0,0,1,1
1992,27,15762.57,182.467607,21.67433467,11.55209722,16,2230.633867,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1994,76,3666.35,199.990219,20.93887792,12.12132108,15,2674.568338,0,0,0,1,0,1,0,0,0,1,0,1,0,0
1996,26,20680.56,174.958118,14.91152829,11.98417084,11,2193.593711,1,0,1,1,0,0,1,1,0,0,0,1,0,0
1997,31,64242.12,275.133571,6.22614246,0.5073749,14,1385.020283,1,1,1,1,0,1,0,0,0,1,0,0,0,1
1998,34,13655.62,217.472533,6.093194674,10.34140063,12,1045.580948,1,1,0,1,0,0,1,0,0,0,0,0,0,1
2001,62,17386.0,204.961,1.229945,4.808304,7,570.9128348,0,1,1,1,0,1,0,1,0,0,0,1,0,1
2002,39,8809.37,139.9568,13.29584,12.27326,9,1392.096076,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2003,29,29856.65,129.9915,2.105603,10.09367,11,904.795841,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,49,84914.28,242.6326,7.976237,11.20146,13,1410.771138,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2005,18,19789.59,144.9607,1.293553,4.681246,10,278.4405252,0,1,0,0,0,0,1,0,0,0,0,0,1,1
2006,19,19091.73,275.1336,5.982479,11.99276,12,1418.914101,1,1,0,0,0,0,1,1,0,0,0,0,0,1
2007,43,30898.32,235.1372,1.26105,7.713017,12,1206.875735,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2008,28,60536.56,177.4945,7.698157,9.013523,16,1683.821351,1,1,1,1,0,1,0,0,0,0,1,0,1,0
2009,86,65062.28,139.965,2.175619,8.44455,10,888.7773914,1,1,1,1,0,0,0,0,0,0,1,0,1,0
2010,70,10305.73,162.4608,9.390135,9.749636,13,1574.866243,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2012,84,23978.67,172.4579,8.433722,8.4926,14,1042.452905,0,1,1,0,0,0,0,0,0,0,1,0,1,1
2013,46,68557.22,169.9378,3.081551,12.91472,10,843.4262718,1,0,0,1,0,1,0,0,0,0,1,0,0,1
2014,29,16367.17,184.9634,18.2156,6.006898,14,2710.705946,1,1,1,1,0,0,0,1,0,0,0,0,0,0
2015,55,10315.72,172.4885,14.80885,13.15703,7,2097.707886,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2016,86,40783.52,245.1457,3.151239,7.346236,10,970.5121325,1,1,1,0,0,0,0,1,0,0,0,0,0,1
2017,26,19920.22,230.1051,16.81532,9.531669,15,2095.701636,0,1,1,0,0,0,0,0,0,0,0,1,0,1
2018,79,80176.6,252.624,1.954899,10.62558,16,655.8025029,0,0,1,0,0,0,0,1,0,0,0,0,1,1
2019,72,8803.4,192.4567,5.111408,12.42693,8,722.0796766,2,0,0,1,0,0,0,0,1,0,0,0,0,1
2020,34,76063.08,117.4392,11.42056,9.885262,14,1623.908651,1,0,0,0,0,0,1,0,0,0,1,0,1,0
2021,45,50159.71,172.4404,8.954465,14.12411,15,1551.718247,1,1,0,0,0,1,0,0,1,0,0,1,0,0
2022,31,29467.49,162.4608,7.387825,9.108143,7,1411.701061,0,0,0,0,1,0,1,0,0,1,0,0,1,0
2024,80,44485.5,104.9781,10.47338,9.905191,14,1428.669992,2,0,0,1,0,0,1,0,0,1,0,1,0,0
2025,77,40939.24,232.6378,4.773251,12.07642,13,1557.79907,1,1,1,1,0,0,1,0,0,0,1,0,0,0
2026,44,61142.96,137.4836,4.510318,9.643592,15,1068.481652,0,1,1,1,0,0,0,0,1,0,0,1,0,0
2027,73,72734.86,167.4847,3.843142,9.596264,9,1349.319824,2,1,1,0,0,1,0,0,1,0,0,0,0,0
2028,45,74948.35,275.1336,11.38469,10.95793,11,1731.015044,1,1,1,1,0,1,0,0,0,1,0,0,0,1
2029,53,45693.25,132.4798,7.178731,14.54552,11,1421.45141,0,1,1,1,0,0,0,1,0,0,0,0,0,0
2030,20,25686.47,169.9447,3.434965,8.591792,6,782.5670721,0,0,0,1,0,0,1,0,0,0,1,0,1,1
2031,85,3640.46,104.9643,11.93639,5.837482,11,1399.828665,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2032,28,68631.52,114.9728,2.155733,6.146665,10,411.9057225,2,1,0,0,0,0,1,0,1,0,0,0,0,1
2033,68,55306.54,159.965,4.600655,8.904816,13,733.0007061,0,0,0,1,0,0,1,0,0,1,0,1,0,1
2034,18,32058.65,149.9378,7.376158,8.965014,14,1669.828557,0,1,1,1,0,0,0,0,1,0,0,1,0,0
2036,28,10533.21,149.9447,7.231407,12.32574,12,1388.550492,1,1,1,1,0,0,0,1,0,0,0,0,1,0
2039,67,29149.35,172.4579,8.962444,9.117724,10,1172.296779,0,1,0,0,0,0,1,0,0,0,1,0,1,1
2040,28,20185.24,159.9349,23.24675,10.83199,6,2309.357899,0,1,0,1,0,0,0,0,1,0,0,1,0,1
2041,84,43121.53,144.9607,8.716735,13.33801,12,783.3606694,1,1,0,1,0,0,0,0,0,0,0,0,1,1
2042,68,53952.59,277.6513,11.71454,11.02404,7,1757.837077,0,0,1,1,0,0,1,0,0,1,0,0,1,1
2043,34,37794.12,159.9656,3.08799,7.365321,12,884.8222735,1,0,1,0,0,0,0,0,0,0,1,0,1,0
2044,21,101907.8,242.6143,2.051002,9.485065,11,845.0925039,1,1,1,0,0,0,0,1,0,0,0,1,0,1
2045,44,24218.05,160.0013,25.17478,8.256042,12,2341.106117,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2046,54,32075.69,174.9755,19.50558,11.47946,10,2077.919709,0,1,1,1,0,0,0,0,0,1,0,0,1,1
2047,30,12429.48,152.4742,6.645141,11.81668,16,1350.573202,2,1,0,1,0,0,1,1,0,0,0,0,0,0
2048,48,39939.55,117.4392,7.793232,12.20892,11,1297.061633,1,0,0,1,0,0,1,0,0,0,1,1,0,0
2049,51,34531.07,230.1051,13.37596,10.73901,9,1670.352435,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2050,60,14646.58,172.4567,11.5352,16.47207,13,1680.552794,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2051,50,630.24,152.4798,6.025694,9.50503,13,892.5309234,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2052,87,48476.58,242.6106,2.051657,12.13919,7,1187.716662,1,0,1,1,0,1,0,1,0,0,0,1,0,0
2054,82,9829.71,192.4404,2.654262,8.98954,8,500.6893216,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2056,23,99291.94,127.4601,16.59389,9.056277,13,2130.220399,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2059,75,14987.31,232.624,3.465896,12.89594,14,1206.219227,0,1,1,0,0,1,0,0,0,0,0,1,0,0
2060,31,54531.53,222.6281,12.4962,9.127013,11,2193.26463,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2061,78,22067.94,214.9663,13.63369,10.76672,14,1554.801608,0,0,0,0,0,0,1,0,1,0,0,0,1,1
2062,64,10440.87,127.4421,11.75027,6.855385,17,1485.647596,0,1,0,0,0,0,1,0,0,1,0,1,0,0
2064,23,8626.93,172.4624,8.333131,13.16243,10,1187.710162,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2065,77,41169.69,257.6513,9.602383,11.49389,12,1968.75769,1,1,1,1,0,0,0,1,0,0,0,0,0,0
2066,63,51251.22,169.9447,22.37984,10.41256,7,2146.833629,0,1,0,0,0,1,0,0,1,0,0,1,0,1
2067,32,53267.14,172.4579,9.061231,8.197798,14,1172.004801,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2068,42,47320.46,172.4624,2.402087,8.202699,6,561.6005724,1,1,0,0,0,0,1,0,0,0,0,1,0,1
2069,46,67172.04,142.4526,12.85483,11.07391,16,1918.333346,1,0,0,1,0,1,0,0,0,1,0,0,0,0
2071,60,26385.01,124.9781,5.26792,8.478086,15,592.6545248,0,0,0,1,0,0,1,0,0,0,1,1,0,1
2072,36,30575.77,169.9378,6.799748,11.58551,10,965.3809411,0,0,1,1,0,0,0,1,0,0,0,1,0,1
2073,49,127881.0,149.9598,8.954573,15.14143,12,967.4628508,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2074,26,52199.89,117.4872,2.499923,9.1274,12,843.6406855,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2075,32,44236.12,184.9853,8.084289,8.489595,7,1315.312803,0,1,0,1,0,1,0,0,0,1,0,0,1,1
2077,67,16944.5,252.624,11.61721,4.407474,18,1671.56323,1,1,1,0,0,0,0,1,0,0,0,0,0,1
2079,68,116572.3,220.1323,9.881597,9.548649,13,1366.505082,0,0,1,1,0,0,0,0,0,0,0,0,1,1
2080,67,10516.36,194.9663,4.969544,10.82715,9,1345.940597,1,1,1,1,0,1,0,0,0,0,0,1,0,0
2081,67,41867.94,137.4392,14.86711,12.10717,8,1415.406657,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2083,77,86877.95,162.4827,2.958575,14.83322,14,531.0770713,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2084,36,45268.54,129.9778,9.955486,11.68917,13,1557.295826,2,1,1,1,0,0,0,0,0,0,0,1,0,0
2085,48,60555.18,149.9447,17.08264,13.27431,11,2160.951234,1,0,1,1,0,0,0,0,0,0,1,0,0,0
2086,25,21951.91,194.9744,12.12823,7.554437,18,1464.752497,0,1,1,1,0,0,0,0,0,1,0,0,0,1
2087,63,15468.51,152.5104,9.832835,2.017746,15,1583.398883,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2088,19,10120.05,240.1149,3.737401,4.271704,12,1010.521133,0,0,1,1,0,0,0,0,0,0,0,0,1,1
2089,39,2715.32,147.4564,4.791566,7.706983,18,1085.979242,1,1,0,1,0,0,1,1,0,0,0,0,0,0
2090,44,100861.7,192.4705,22.04122,11.24791,11,2261.179586,1,0,0,0,0,0,1,0,0,1,0,1,0,1
2091,47,27938.89,104.9781,6.86392,12.9485,17,1128.042592,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2092,71,41676.3,192.4404,5.855847,9.800684,12,768.3006696,1,0,1,0,0,0,0,0,0,0,1,0,0,1
2094,70,29246.74,152.4624,7.809364,9.080608,11,1572.631084,2,1,0,0,0,0,1,0,0,0,0,1,0,0
2095,72,61915.61,230.1051,30.1778,10.74621,13,2978.208092,0,1,1,0,0,0,0,0,0,0,1,0,0,1
2096,34,115414.9,172.4705,5.66162,10.7843,14,1478.422099,1,1,1,1,0,0,0,0,0,0,0,0,1,0
2097,76,38228.16,232.6378,11.50316,14.23673,15,2050.942844,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2098,30,17492.71,217.484,6.818283,9.977086,13,1280.44084,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2099,60,19410.35,164.9785,10.48149,13.37836,12,1679.924727,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2100,59,4425.26,172.5104,5.459489,9.711712,11,773.1752584,0,1,0,0,0,1,0,1,0,0,0,0,0,1
2103,36,65731.64,127.4421,11.07943,11.39908,15,1522.482247,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2104,57,13929.56,240.1149,13.0511,15.04815,14,1571.238893,0,1,1,0,0,0,1,0,0,1,0,1,0,1
2105,49,41181.43,202.4433,18.381,12.38804,14,1943.652184,0,1,1,1,0,0,0,0,0,1,0,0,0,1
2106,83,30997.05,107.4958,11.87278,9.25069,18,1464.845197,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2109,62,38302.75,142.4526,12.31839,13.2422,8,1821.920781,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2110,84,34604.65,232.6378,5.173292,9.493989,10,1366.649837,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2111,44,23646.52,172.4441,6.23273,5.512588,14,912.4311552,0,1,1,0,0,0,0,0,0,1,0,1,0,1
2112,37,101807.8,242.6143,4.252913,9.767021,13,995.5630984,2,0,1,0,1,0,0,0,0,0,1,1,0,1
2116,41,6740.05,252.6378,19.72758,8.173993,11,2426.091797,0,0,0,1,0,1,0,0,0,0,0,0,1,1
2118,53,9790.18,174.9768,11.53174,11.13286,10,1840.767702,1,1,1,1,0,0,0,0,0,1,0,0,0,0
2119,67,40978.57,242.6326,14.29414,8.762474,14,1838.646452,0,1,1,0,0,0,1,0,0,1,0,1,0,1
2120,88,83234.64,182.4538,28.28911,8.055983,7,2461.030222,2,0,0,0,0,1,0,0,0,0,1,0,1,1
2121,77,29681.02,104.9643,27.98865,11.47448,9,2679.775265,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2122,43,66031.23,210.127,15.2109,12.53895,9,1875.199655,1,1,0,1,0,0,1,0,0,0,0,0,1,1
2123,73,146782.3,92.45514,1.577215,11.38954,12,575.972228,0,0,0,1,0,0,1,0,1,0,0,1,0,0
2124,45,31486.98,134.9509,16.85088,7.401544,11,1661.330631,0,1,0,1,0,1,0,1,0,0,0,0,1,1
2125,57,21482.85,172.4441,16.6564,13.09285,9,1770.955679,0,0,0,1,0,0,0,1,0,0,0,1,0,1
2126,36,42345.0,237.6549,8.275832,7.706837,12,2019.213435,0,1,1,1,0,0,0,1,0,0,0,1,0,0
2127,69,40134.85,207.4673,1.789614,8.568928,13,568.2599017,1,1,1,1,0,0,0,0,0,0,0,1,0,1
2128,30,54713.59,159.965,5.943865,11.4707,18,1039.286045,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2129,44,68269.35,192.4404,11.4255,12.54175,15,1452.597026,0,0,1,1,0,0,0,0,0,0,0,0,1,1
2130,25,22823.11,277.6375,29.35795,9.521566,16,3232.873635,1,1,1,1,0,0,0,0,0,0,1,0,1,1
2131,31,61362.22,149.9447,3.543665,13.1638,12,1121.849069,1,1,1,0,0,0,0,1,0,0,0,1,0,0
2132,64,36887.34,220.1323,1.75453,11.78195,16,713.7053321,0,0,1,1,0,1,0,0,0,1,0,0,1,1
2133,48,50354.57,149.9378,19.87069,9.011534,15,2472.105638,0,1,0,1,0,1,0,0,0,0,1,1,0,0
2135,22,67252.64,277.6375,7.658218,7.576687,14,1417.62647,0,0,1,0,0,0,0,0,0,1,0,0,1,1
2136,57,35925.24,242.6326,2.465822,8.398662,11,809.8918631,0,1,1,0,0,0,0,0,0,0,1,0,1,1
2137,23,25895.26,139.9568,8.353798,8.494806,8,1117.452708,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2138,52,31637.52,255.1372,9.37017,12.46389,18,1428.317482,0,1,1,0,0,1,0,0,0,0,0,0,0,1
2140,61,18708.42,184.9496,8.394454,9.543086,15,1566.320356,0,1,0,1,0,0,1,1,0,0,0,0,0,0
2141,84,68822.79,107.4958,2.432366,3.866889,15,688.0396207,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2143,67,50160.82,127.4958,13.17391,8.386358,12,1179.636227,0,1,1,0,0,0,0,0,0,1,0,0,1,1
2144,40,22622.48,235.1591,1.375567,14.93471,12,840.8676674,0,1,1,1,0,0,1,0,0,1,0,0,0,1
2145,37,53358.81,202.6362,24.34252,13.19778,9,3276.40737,2,1,1,1,0,0,0,0,0,0,1,0,1,0
2146,29,30303.35,225.1457,2.301376,14.58236,16,1408.898779,0,1,1,0,0,0,1,0,0,0,0,1,0,0
2147,23,27135.0,92.45514,16.64818,10.01972,8,1923.285458,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2148,36,21345.51,149.9378,4.564096,8.245298,13,1113.404715,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2149,76,22626.3,132.466,5.29727,14.78858,18,1326.549878,0,1,1,1,0,0,0,0,1,0,0,0,0,0
2150,87,36532.31,212.6228,5.099454,7.841697,7,1362.860416,0,1,1,0,0,0,0,0,0,0,1,0,1,0
2151,51,42912.49,124.9781,6.03955,8.992821,12,685.3879681,1,1,0,1,0,0,0,0,0,0,1,0,1,1
2152,25,4855.88,124.9607,4.749684,17.03765,11,982.9569892,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2153,40,30543.93,144.9607,21.61867,8.376945,13,1871.706612,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2154,30,19284.89,222.65,15.51194,13.3061,11,2196.073405,0,1,1,0,0,0,0,0,0,1,0,1,0,1
2156,21,32849.77,160.0013,8.66647,6.618072,12,1094.644005,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2157,65,4795.94,235.1591,2.748652,10.61107,8,840.6246629,0,0,1,1,0,0,0,1,0,0,0,0,0,1
2158,51,44034.11,240.1149,2.830635,5.574893,9,753.4677251,0,0,1,0,0,0,0,1,0,0,0,0,1,1
